0,Ninguno
1,Aldosivi
2,Argentinos Jrs.
3,Arsenal
4,Atlético Tucumán
5,Banfield
6,Boca Juniors
7,Central Cordoba
8,Colón
9,Defensa y Justicia
10,Estudiantes
11,Gimnasia
12,Godoy Cruz
13,Huracán
14,Independiente
15,Lanús
16,Newell's Old Boys
17,Patronato
18,Platense
19,Racing
20,River Plate
21,Rosario Central
22,San Lorenzo
23,Sarmiento
24,Talleres
25,Unión
26,Vélez
